indicator,order,level,english,top,group,ai_post_relative_change,std_error,lower,upper,outcome,eng_var,top_var,model_fe_type,n,r2
ins,last,300,0,1,"Non-English, more-established",0.06327004093860031,0.0011859878821954622,0.06094554740339627,0.06559453447380435,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1949124,0.19307149616353025
ins,last,300,1,0,"English, less-established",0.07059957568159213,0.0029253670468418515,0.06486596162822181,0.07633318973496245,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1949124,0.19307149616353025
ins,last,300,1,1,"English, more-established",0.045482678941554826,0.0014929055803510568,0.04255663777174789,0.04840872011136176,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1949124,0.19307149616353025
pub,first,1,0,0,"Non-English, less-established",0.07657302843741697,0.0016516096872560082,0.07333593293387773,0.0798101239409562,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,2052933,0.1916526041585287
pub,first,1,0,1,"Non-English, more-established",0.07471753760096839,0.0025601883924618136,0.06969966055810574,0.07973541464383103,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,2052933,0.1916526041585287
pub,first,1,1,0,"English, less-established",0.06195807823275736,0.002536447679421735,0.056986732132420566,0.06692942433309416,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,2052933,0.1916526041585287
pub,first,1,1,1,"English, more-established",0.043577226377197374,0.003138684170293844,0.03742551844457546,0.04972893430981929,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,2052933,0.1916526041585287
pub,first,5,0,0,"Non-English, less-established",0.07673794764632606,0.001655111625341017,0.07349398847026412,0.07998190682238801,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,2052933,0.1916880128557955
pub,first,5,0,1,"Non-English, more-established",0.07460541196475043,0.001980452792551774,0.07072379581826718,0.07848702811123368,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,2052933,0.1916880128557955
pub,first,5,1,0,"English, less-established",0.06258925295110772,0.0025775369297696615,0.05753737339993724,0.0676411325022782,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,2052933,0.1916880128557955
pub,first,5,1,1,"English, more-established",0.0501094923927269,0.002206452204861336,0.045784925537589685,0.05443405924786411,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,2052933,0.1916880128557955
pub,first,10,0,0,"Non-English, less-established",0.07705334303396273,0.0016655435847340175,0.07378893759320232,0.08031774847472314,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,2052933,0.19167173663630288
pub,first,10,0,1,"Non-English, more-established",0.0741776390628386,0.0018170151060277156,0.07061635489565905,0.07773892323001814,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,2052933,0.19167173663630288
pub,first,10,1,0,"English, less-established",0.06298951356534203,0.0026294937154604176,0.057835800585465204,0.06814322654521887,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,2052933,0.19167173663630288
pub,first,10,1,1,"English, more-established",0.05377163199962948,0.002172208327892845,0.049514181910041526,0.05802908208921743,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,2052933,0.19167173663630288
pub,first,20,0,0,"Non-English, less-established",0.07786874662574327,0.0016800233325328106,0.07457596140079199,0.08116153185069454,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,2052933,0.19168572040526588
pub,first,20,0,1,"Non-English, more-established",0.07384195491987872,0.0017179088647271564,0.0704749154162914,0.07720899442346603,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,2052933,0.19168572040526588
pub,first,20,1,0,"English, less-established",0.06374328209383985,0.002764599185766815,0.05832476725804814,0.06916179692963156,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,2052933,0.19168572040526588
pub,first,20,1,1,"English, more-established",0.05627238277131284,0.0020991115919809992,0.05215819965149955,0.060386565891126134,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,2052933,0.19168572040526588
pub,last,1,0,0,"Non-English, less-established",0.07838238930259515,0.001712092201205437,0.07502675025002059,0.08173802835516972,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,2019216,0.19158894108177416
pub,last,1,0,1,"Non-English, more-established",0.06327410559031907,0.0013758850126662934,0.0605774205186247,0.06597079066201345,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,2019216,0.19158894108177416
pub,last,1,1,0,"English, less-established",0.06283020489905197,0.0026615807345345796,0.05761360251741853,0.0680468072806854,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,2019216,0.19158894108177416
pub,last,1,1,1,"English, more-established",0.047880517908944306,0.0017121320841565401,0.044524800687221984,0.05123623513066663,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,2019216,0.19158894108177416
pub,last,5,0,0,"Non-English, less-established",0.08281370750329095,0.0019149297051396226,0.07906051424829139,0.08656690075829052,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,2019216,0.19266378754296998
pub,last,5,0,1,"Non-English, more-established",0.06562745918509565,0.0013029576822817972,0.06307370905444354,0.06818120931574775,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,2019216,0.19266378754296998
pub,last,5,1,0,"English, less-established",0.06720650119687227,0.0031311272556408328,0.0610696045448045,0.07334339784894003,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,2019216,0.19266378754296998
pub,last,5,1,1,"English, more-established",0.05052997850783775,0.0015860537821720368,0.04742137021723702,0.05363858679843848,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,2019216,0.19266378754296998
pub,last,10,0,0,"Non-English, less-established",0.08653882370140253,0.002132742708664207,0.08235872480413028,0.09071892259867478,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,2019216,0.1932097040354539
pub,last,10,0,1,"Non-English, more-established",0.0679663985425895,0.0013322865683918104,0.0653551648514551,0.0705776322337239,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,2019216,0.1932097040354539
pub,last,10,1,0,"English, less-established",0.07129393389442802,0.003584476193287502,0.06426848965214328,0.07831937813671276,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,2019216,0.1932097040354539
pub,last,10,1,1,"English, more-established",0.05244457530886361,0.0016139363279579326,0.04928131823272523,0.055607832385001985,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,2019216,0.1932097040354539
pub,last,20,0,0,"Non-English, less-established",0.09313996927893237,0.002486865667037861,0.08826580213714898,0.09801413642071576,ai_use_intro_discussion,english_last,last_cumulative_pubs_top20,journal + subfield,2019216,0.19379207389968756
pub,last,20,0,1,"Non-English, more-established",0.07024994929330322,0.00138721495795308,0.06753105793689994,0.0729688406497065,ai_use_intro_discussion,english_last,last_cumulative_pubs_top20,journal + subfield,2019216,0.19379207389968756
pub,last,20,1,0,"English, less-established",0.07754420223071348,0.004300927256599005,0.06911453970765277,0.08597386475377419,ai_use_intro_discussion,english_last,last_cumulative_pubs_top20,journal + subfield,2019216,0.19379207389968756
pub,last,20,1,1,"English, more-established",0.054722841838514426,0.0017271212482030994,0.05133774639510249,0.05810793728192636,ai_use_intro_discussion,english_last,last_cumulative_pubs_top20,journal + subfield,2019216,0.19379207389968756
pub_recent2year,first,5,0,0,"Non-English, less-established",0.07455876549675507,0.0016124264476986444,0.07139846773154587,0.07771906326196426,ai_use_intro_discussion,english_first,first_recent2year_top5,journal + subfield,2052933,0.1922123064047242
pub_recent2year,first,5,0,1,"Non-English, more-established",0.08558934599984852,0.0020492459265798223,0.08157289778828666,0.08960579421141038,ai_use_intro_discussion,english_first,first_recent2year_top5,journal + subfield,2052933,0.1922123064047242
pub_recent2year,first,5,1,0,"English, less-established",0.06034359892159427,0.00253871755229694,0.055367803952172584,0.06531939389101596,ai_use_intro_discussion,english_first,first_recent2year_top5,journal + subfield,2052933,0.1922123064047242
pub_recent2year,first,5,1,1,"English, more-established",0.06922743420218365,0.003065520245282118,0.0632191249275523,0.075235743476815,ai_use_intro_discussion,english_first,first_recent2year_top5,journal + subfield,2052933,0.1922123064047242
pub_recent2year,first,10,0,0,"Non-English, less-established",0.07390188167842592,0.001631442065183177,0.07070431398780325,0.07709944936904858,ai_use_intro_discussion,english_first,first_recent2year_top10,journal + subfield,2052933,0.1922489612025412
pub_recent2year,first,10,0,1,"Non-English, more-established",0.08272518992659023,0.001832056094592106,0.0791344259635326,0.08631595388964786,ai_use_intro_discussion,english_first,first_recent2year_top10,journal + subfield,2052933,0.1922489612025412
pub_recent2year,first,10,1,0,"English, less-established",0.05981413318534858,0.0025757119803116423,0.054765830469389425,0.06486243590130775,ai_use_intro_discussion,english_first,first_recent2year_top10,journal + subfield,2052933,0.1922489612025412
pub_recent2year,first,10,1,1,"English, more-established",0.06712181740104638,0.0027370777971038656,0.06175724349583857,0.07248639130625419,ai_use_intro_discussion,english_first,first_recent2year_top10,journal + subfield,2052933,0.1922489612025412
pub_recent2year,first,20,0,0,"Non-English, less-established",0.07340189612599458,0.0016586786565464346,0.07015094569723829,0.07665284655475088,ai_use_intro_discussion,english_first,first_recent2year_top20,journal + subfield,2052933,0.19209929738347975
pub_recent2year,first,20,0,1,"Non-English, more-established",0.07998891630423871,0.0017223568512093543,0.07661315890734256,0.08336467370113486,ai_use_intro_discussion,english_first,first_recent2year_top20,journal + subfield,2052933,0.19209929738347975
pub_recent2year,first,20,1,0,"English, less-established",0.05938049465798223,0.002686872133804239,0.054114322044661635,0.06464666727130282,ai_use_intro_discussion,english_first,first_recent2year_top20,journal + subfield,2052933,0.19209929738347975
pub_recent2year,first,20,1,1,"English, more-established",0.06485310116936385,0.0024926523077202375,0.059967592420251535,0.06973860991847616,ai_use_intro_discussion,english_first,first_recent2year_top20,journal + subfield,2052933,0.19209929738347975
pub_recent2year,last,5,0,0,"Non-English, less-established",0.07762341141017123,0.0018385157219693996,0.07401998681010055,0.08122683601024192,ai_use_intro_discussion,english_last,last_recent2year_top5,journal + subfield,2019216,0.1910710916720798
pub_recent2year,last,5,0,1,"Non-English, more-established",0.07552159340374072,0.0015077453489548583,0.07256646682193142,0.07847671998555002,ai_use_intro_discussion,english_last,last_recent2year_top5,journal + subfield,2019216,0.1910710916720798
pub_recent2year,last,5,1,0,"English, less-established",0.061921467951804546,0.002958227891701427,0.056123447826007894,0.0677194880776012,ai_use_intro_discussion,english_last,last_recent2year_top5,journal + subfield,2019216,0.1910710916720798
pub_recent2year,last,5,1,1,"English, more-established",0.060004436535654584,0.0020993238267880297,0.05588983744326324,0.06411903562804593,ai_use_intro_discussion,english_last,last_recent2year_top5,journal + subfield,2019216,0.1910710916720798
pub_recent2year,last,10,0,0,"Non-English, less-established",0.07869957954290724,0.0020000296929681663,0.07477959337667893,0.08261956570913555,ai_use_intro_discussion,english_last,last_recent2year_top10,journal + subfield,2019216,0.19106669176595037
pub_recent2year,last,10,0,1,"Non-English, more-established",0.07528177018391666,0.0014892612309770476,0.07236287180762986,0.07820066856020345,ai_use_intro_discussion,english_last,last_recent2year_top10,journal + subfield,2019216,0.19106669176595037
pub_recent2year,last,10,1,0,"English, less-established",0.0625766031738889,0.0032090567293932993,0.056286967559932136,0.06886623878784566,ai_use_intro_discussion,english_last,last_recent2year_top10,journal + subfield,2019216,0.19106669176595037
pub_recent2year,last,10,1,1,"English, more-established",0.05999947409421881,0.0021442988725838903,0.055796725531864544,0.06420222265657308,ai_use_intro_discussion,english_last,last_recent2year_top10,journal + subfield,2019216,0.19106669176595037
